date, pm25, pm10, o3, no2, so2
2026/8/1, 36, 14, 30, 2, 1
2026/8/2, 30, 10, 19, 4, 1
2026/8/3, 31, 10, 22, 5, 1
2026/8/4, 20, 8, 20, 3, 1
2026/8/5, 17, 9, 29, 3, 1
2026/8/6, 18, , , , 
2026/7/1, 41, 24, 49, 13, 1
2026/7/2, 49, 24, 66, 8, 1
2026/7/3, 49, 23, 62, 8, 1
2026/7/4, 46, 22, 72, 9, 1
2026/7/5, 58, 23, 45, 14, 1
2026/7/6, 55, 22, 37, 5, 1
2026/7/7, 51, 20, 37, 8, 1
2026/7/8, 41, 17, 32, 3, 1
2026/7/9, 39, 17, 32, 4, 1
2026/7/10, 30, 17, 33, 4, 1
2026/7/11, 32, 15, 25, 3, 1
2026/7/12, 29, 15, 28, 6, 1
2026/7/13, 27, 11, 28, 6, 1
2026/7/14, 21, 11, 24, 7, 1
2026/7/15, 26, 9, 26, 5, 1
2026/7/16, 20, 11, 30, 4, 1
2026/7/17, 24, 12, 34, 2, 1
2026/7/18, 28, 16, 36, 2, 1
2026/7/19, 34, 20, 37, 5, 1
2026/7/20, 46, 22, 38, 6, 1
2026/7/21, 46, 18, 36, 5, 1
2026/7/22, 52, 25, 37, 4, 1
2026/7/23, 52, 22, 35, 4, 1
2026/7/24, 37, 21, 39, 2, 1
2026/7/25, 43, 19, 36, 2, 1
2026/7/26, 39, 21, 52, 8, 1
2026/7/27, 46, 22, 46, 9, 1
2026/7/28, 54, 20, 33, 5, 1
2026/7/29, 43, 14, 30, 3, 1
2026/7/30, 36, 12, 33, 4, 1
2026/7/31, 37, 15, 37, 4, 1
2026/4/1, 37, 17, 36, 8, 
2026/4/2, 36, 16, 39, 7, 
2026/4/3, 35, 17, 42, 14, 1
2026/4/4, 48, 19, 41, 21, 
2026/4/5, 52, 20, 36, 10, 
2026/4/6, 48, 20, 37, 5, 
2026/4/7, 42, 9, 37, 6, 
2026/4/8, 25, 11, 37, 12, 
2026/4/9, 30, 31, 38, 12, 
2026/4/10, 61, 29, 40, 2, 
2026/4/11, 53, 18, 36, 1, 
2026/4/12, 25, 12, 37, 6, 
2026/4/13, 21, 12, 25, 9, 
2026/4/14, 22, 12, 33, 9, 
2026/4/15, 22, 14, 33, 10, 
2026/4/16, 29, 19, 37, 10, 
2026/4/17, 39, 22, 45, 11, 
2026/4/18, 51, 25, 53, 11, 
2026/4/19, 57, 21, 38, 14, 
2026/4/20, 50, 40, 38, 4, 
2026/4/21, 65, 31, 38, 8, 
2026/4/22, 47, 15, 37, 9, 
2026/4/23, 31, 14, 31, 10, 
2026/4/24, 32, 14, 36, 4, 
